Name,Date,Location,Type,Region,Weather
Giantish,1/30/2024 |  High Dive, High Dive,Music,Fremont / Ballard,No forecast available
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,No forecast available
A/political Rocks,Now through 1/31/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,No forecast available
Sophia Al-Maria,Now through 1/31/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,No forecast available
Jahari Stampley,1/30/2024 through 1/31/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
FRAKTURED: Home of the Broken Beat,1/31/2024 |  High Dive, High Dive,Music,Fremont / Ballard,No forecast available
G3- 25th Anniversary reunion,1/31/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,No forecast available
JP Saxe,1/31/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Los Lobos,1/31/2024 |  The Triple Door, The Triple Door,Music,Downtown,No forecast available
BabyTron,2/1/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Catalyzing Change with Akuyea Karen Vargas,2/1/2024 |  Bainbridge Island Museum of Art, Bainbridge Island Museum of Art,Readings & Lectures,West,No forecast available
Jamila Woods,2/1/2024 |  Neumos, Neumos,Music,Capitol Hill / Central District,No forecast available
Jazz is Dead: Blue Note 85,2/1/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Michelle Cann,2/1/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Pakt,2/1/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,No forecast available
Erik Walters,2/2/2024 |  Barboza, Barboza,Music,Capitol Hill / Central District,No forecast available
Memoir,2/2/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Nora En Pure,2/2/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,No forecast available
Poolside,2/2/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Tacoma Stars vs. Monterrey Flash,2/2/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,No forecast available
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024 |  On The Boards, On The Boards,Theatre,Queen Anne / Seattle Center,No forecast available
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
All Will Suffer,2/3/2024 |  Funhouse, Funhouse,Music,Capitol Hill / Central District,No forecast available
Cold War Kids – 20 Years Tour,2/3/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,No forecast available
Mau P,2/3/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Randy Rainbow for President,2/3/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,No forecast available
The Delta Bombers,2/3/2024 |  El Corazon, El Corazon,Music,Downtown,No forecast available
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Sergio Mendes,2/1/2024 through 2/4/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Daniel Tiger’s Neighborhood,2/4/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,No forecast available
Lil Skies,2/4/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Criminal,2/5/2024 |  The Moore Theatre, The Moore Theatre,Theatre,Downtown,No forecast available
Neck Deep,2/5/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,No forecast available
Kazu Kibuishi with Donna Barba Higuera,2/6/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,No forecast available
Night Lovell,2/6/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Soja,2/6/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Kenny Barron Trio,2/6/2024 through 2/7/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,No forecast available
The Kills,2/7/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,No forecast available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,No forecast available
Art and Transformation,2/8/2024 |  Bainbridge Island Museum of Art, Bainbridge Island Museum of Art,Readings & Lectures,West,No forecast available
Eric Bellinger,2/8/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Futurebirds and Nude Party,2/8/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Ilana Glazer Live,2/8/2024 |  The Moore Theatre, The Moore Theatre,Theatre,Downtown,No forecast available
Mister Blank,2/8/2024 |  Nectar Lounge, Nectar Lounge,Music,Fremont / Ballard,No forecast available
The Thorn,2/8/2024 through 2/9/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,No forecast available
Barry Can’t Swim,2/9/2024 |  Neumos, Neumos,Music,Capitol Hill / Central District,No forecast available
Dark Star Orchestra,2/9/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Gov’t Mule,2/9/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,No forecast available
Mayer Hawthorne,2/9/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Moontricks,2/9/2024 |  The Crocodile, The Crocodile,Music,Downtown,No forecast available
OBOE / OBOE,2/9/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,No forecast available
Seattle Boat Show,2/2/2024 through 2/10/2024 |  Lumen Field, Lumen Field,Festivals & Special Events,Pioneer Square,No forecast available
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Art by Design,2/9/2024 through 2/10/2024 |  Seattle Design Center, Seattle Design Center,Visual Arts & Galleries,Downtown,No forecast available
Brazilian Carnaval 2024,2/10/2024 |  The Crocodile, The Crocodile,Music,Downtown,No forecast available
Chase Rice,2/10/2024 |  Showbox SoDo, Showbox SoDo,Music,Pioneer Square,No forecast available
Joe “Mr. D”  Dombrowski,2/10/2024 |  The Moore Theatre, The Moore Theatre,Theatre,Downtown,No forecast available
JVNA,2/10/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
The Temptations &  The Four Tops,2/10/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,No forecast available
Quixote Nuevo,Now through 2/11/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,No forecast available
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,No forecast available
Blood Sweat  and Tears,2/8/2024 through 2/11/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Love at the Zoo,2/10/2024 through 2/11/2024 |  Point Defiance Zoo and Aquarium, Point Defiance Zoo and Aquarium,Festivals & Special Events,South,No forecast available
Scott Bradlee’s Postmodern Jukebox,2/11/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,No forecast available
Tourist and Amtrac,2/11/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Eliades Ochoa,2/13/2024 |  The Moore Theatre, The Moore Theatre,Music,Downtown,No forecast available
K. Wayne Yang,2/13/2024 |  Town Hall Seattle, Town Hall Seattle,Readings & Lectures,Downtown,No forecast available
Maddie Zahm,2/15/2024 |  The Neptune Theatre, The Neptune Theatre,Music,University District,Location not found
Cory Wong Winter 2024 Tour,2/16/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,No forecast available
Circa:Humans 2.0,2/15/2024 through 2/17/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Theatre,University District,Location not found
Jon Batiste,2/17/2024 |  The Paramount Theatre, The Paramount Theatre,Music,Downtown,No forecast available
TobyMac Hits Deep 2024,2/17/2024 |  accesso ShoWare Center, accesso ShoWare Center,Music,South,No forecast available
A Case for the Existence of God,2/2/2024 through 2/18/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,No forecast available
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024 |  Seattle Convention Center, Seattle Convention Center,Festivals & Special Events,Downtown,No forecast available
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Madonna,2/17/2024 through 2/18/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,No forecast available
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Seattle Kraken vs. Detroit Red Wings,2/19/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
From Mozart to Matthews,2/20/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Lukas Nelson,2/20/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Mahogany – smARTfilms: Black Luxury,2/20/2024 |  Bainbridge Island Museum of Art, Bainbridge Island Museum of Art,Film & Media Arts,West,No forecast available
"Wu Han, Philip Setzer & David Finckel",2/20/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
The Cookers,2/20/2024 through 2/21/2024 |  Dimitriou's Jazz Alley, Dimitriou's Jazz Alley,Music,Downtown,No forecast available
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Seattle Kraken vs. Vancouver Canucks,2/22/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Funky Friday with F2D,Now through 2/23/2024 |  Sea Monster Lounge, Sea Monster Lounge,Music,Wallingford / Greenlake,No forecast available
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Opera Talk: The Making of X,2/23/2024 |  Opera Center, Opera Center,Readings & Lectures,Queen Anne / Seattle Center,No forecast available
Wreckno,2/23/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Kelly Akashi,Now through 2/24/2024 |  Henry Art Gallery, Henry Art Gallery,Museums,University District,No forecast available
The Lower Depths,2/6/2024 through 2/24/2024 |  Erickson Theatre, Erickson Theatre,Theatre,Capitol Hill / Central District,No forecast available
Dan Brown Wild Symphony,2/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Pink Sweat$,2/24/2024 |  The Showbox, The Showbox,Music,Downtown,No forecast available
Seattle Kraken vs. Minnesota Wild,2/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Small Island Big Song,2/24/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Born With Teeth,2/1/2024 through 2/25/2024 |  ArtsWest Playhouse and Gallery, ArtsWest Playhouse and Gallery,Theatre,West Seattle,Location not found
"Once More, Just For You",2/5/2024 through 2/25/2024 |  Seattle Public Theater, Seattle Public Theater,Theatre,Wallingford / Greenlake,No forecast available
Wintergrass Music Festival,2/22/2024 through 2/25/2024 |  Hyatt Regency Bellevue, Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,No forecast available
Seattle Kraken vs. Boston Bruins,2/26/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,No forecast available
Playboi Carti,2/28/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,No forecast available
Winter Brilliance,Now through 2/29/2024 |  Chihuly Garden and Glass, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,No forecast available
Seattle Museum Month,2/1/2024 through 2/29/2024 |  Downtown Seattle, Downtown Seattle,Museums,Downtown,No forecast available
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
The Human Family,2/29/2024 |  LANGSTON Seattle, LANGSTON Seattle,Music,Capitol Hill / Central District,No forecast available
Fall Out Boy,3/1/2024 |  Climate Pledge Arena, Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,No forecast available
Tacoma Stars vs. Harrisburg Heat,3/1/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,No forecast available
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Seattle Kraken vs. Edmonton Oilers,3/2/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Emerald City Comic Con,2/29/2024 through 3/3/2024 |  Seattle Convention Center, Seattle Convention Center,Festivals & Special Events,Downtown,No forecast available
Tacoma Stars vs. Harrisburg Heat,3/3/2024 |  accesso ShoWare Center, accesso ShoWare Center,Music,South,No forecast available
Calidore Quartet & Abeo Quartet,3/8/2024 |  415 Westlake, 415 Westlake,Music,Queen Anne / Seattle Center,No forecast available
Holding / Movement,3/8/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Seattle Kraken vs. Winnipeg Jets,3/8/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,No forecast available
Bach St. John Passion,3/7/2024 through 3/9/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Helene Grimaud,3/9/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Positive Fragmentation,Now through 3/10/2024 |  Bellevue Arts Museum, Bellevue Arts Museum,Museums,Bellevue / Eastside,No forecast available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024 |  Frye Art Museum, Frye Art Museum,Museums,Capitol Hill / Central District,No forecast available
Soren Solkaer: Sort Sol,Now through 3/10/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Luchadora!,2/22/2024 through 3/10/2024 |  Seattle Children's Theatre, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,No forecast available
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024 |  Benaroya Hall, Benaroya Hall,Readings & Lectures,Downtown,No forecast available
Seattle Kraken vs. Vegas Golden Knights,3/12/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. Washington Capitals,3/14/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024 |  Meany Center for the Performing Arts, Meany Center for the Performing Arts,Music,University District,Location not found
Sibelius & Nielsen,3/14/2024 through 3/16/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,No forecast available
Seattle Kraken vs. Nashville Predators,3/16/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Native Portraiture: Power and Perception,Now through 3/17/2024 |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,No forecast available
Places to Call Home: Settlements in the West,Now through 3/17/2024 |  Tacoma Art Museum, Tacoma Art Museum,Museums,South,No forecast available
Nobody Lives Here,Now through 3/17/2024 |  Wing Luke Museum, Wing Luke Museum,Museums,International District,No forecast available
Rootabaga Country,3/8/2024 through 3/17/2024 |  Opera Center, Opera Center,Music,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. Buffalo Sabres,3/18/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Tacoma Stars vs. Empire Strykers,3/23/2024 |  accesso ShoWare Center, accesso ShoWare Center,Sports,South,No forecast available
Something’s Afoot,3/1/2024 through 3/24/2024 |  The 5th Avenue Theatre, The 5th Avenue Theatre,Theatre,Downtown,No forecast available
One Thousand Pieces,3/15/2024 through 3/24/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,No forecast available
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Seattle Kraken vs. Montreal Canadiens,3/24/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. Anaheim Ducks,3/26/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. Anaheim Ducks,3/28/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Tim McGraw,3/29/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,No forecast available
Harold and the Purple Crayon,3/23/2024 through 3/30/2024 |  Marion Oliver McCaw Hall, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. Dallas Stars,3/30/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Illuminate: Glass Art for Early Learners,Now through 3/31/2024 |  Museum of Glass, Museum of Glass,Museums,South,No forecast available
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024 |  Museum of History & Industry, Museum of History & Industry,Museums,Queen Anne / Seattle Center,No forecast available
Sanctuary City,3/1/2024 through 3/31/2024 |  Seattle Rep, Seattle Rep,Theatre,Queen Anne / Seattle Center,No forecast available
Stew,3/15/2024 through 3/31/2024 |  ACT Theatre, ACT Theatre,Theatre,Downtown,No forecast available
Luis Miguel,4/4/2024 |  Climate Pledge Arena, Climate Pledge Arena,Music,Queen Anne / Seattle Center,No forecast available
Taylor Raven and Duke Kim in Recital,4/4/2024 |  Opera Center, Opera Center,Music,Queen Anne / Seattle Center,No forecast available
Copland Appalachian Spring,4/4/2024 through 4/6/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024 |  National Nordic Museum, National Nordic Museum,Museums,Fremont / Ballard,No forecast available
Beetlejuice,4/2/2024 through 4/7/2024 |  The Paramount Theatre, The Paramount Theatre,Theatre,Downtown,No forecast available
Seattle Kraken vs. Arizona Coyotes,4/9/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
Seattle Kraken vs. San Jose Sharks,4/11/2024 |  Climate Pledge Arena, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,No forecast available
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024 |  Benaroya Hall, Benaroya Hall,Music,Downtown,No forecast available
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024 |  Seattle Art Museum, Seattle Art Museum,Museums,Downtown,No forecast available
